x y z
1.4 0.0 2.4
1.3964435 0.0 2.4077177
1.393267 0.0 2.41512
1.3904618 0.0 2.4222074
1.3880177 0.0 2.4289804
1.3859248 0.0 2.4354372
1.3841743 0.0 2.4415803
1.3827564 0.0 2.4474077
1.3816609 0.0 2.4529204
1.3808784 0.0 2.4581175
1.3804 0.0 2.463
1.3802154 0.0 2.4675677
1.3803151 0.0 2.4718199
1.3806897 0.0 2.4757576
1.3813298 0.0 2.4793801
1.382225 0.0 2.4826875
1.3833662 0.0 2.4856799
1.3847442 0.0 2.4883575
1.386349 0.0 2.4907203
1.3881706 0.0 2.4927676
1.3901999 0.0 2.4944997
1.3924273 0.0 2.4959176
1.3948432 0.0 2.4970202
1.3974378 0.0 2.4978075
1.4002014 0.0 2.4982796
1.403125 0.0 2.4984374
1.4061984 0.0 2.4982798
1.4094123 0.0 2.4978075
1.4127567 0.0 2.49702
1.4162226 0.0 2.4959176
1.4197999 0.0 2.4945002
1.4234793 0.0 2.4927676
1.4272512 0.0 2.49072
1.4311057 0.0 2.4883575
1.4350336 0.0 2.48568
1.4390249 0.0 2.4826875
1.4430704 0.0 2.4793801
1.4471601 0.0 2.4757576
1.4512848 0.0 2.47182
1.4554346 0.0 2.4675677
1.4596 0.0 2.463
1.4637713 0.0 2.4581175
1.4679391 0.0 2.4529202
1.4720937 0.0 2.4474077
1.4762255 0.0 2.44158
1.480325 0.0 2.4354377
1.4843824 0.0 2.42898
1.4883882 0.0 2.4222076
1.4923327 0.0 2.4151201
1.4962065 0.0 2.4077177
1.4999999 0.0 2.4000003
1.3976144 -0.045865417 2.3971214
1.3957045 -0.045802742 2.407927
1.3941854 -0.04575288 2.4184194
1.3930473 -0.04571554 2.428599
1.3922808 -0.045690384 2.4384658
1.391876 -0.0456771 2.4480183
1.3918238 -0.045675382 2.4572575
1.3921136 -0.045684896 2.4661818
1.392736 -0.04570532 2.4747915
1.3936815 -0.045736354 2.4830854
1.3949406 -0.045777667 2.4910648
1.3965032 -0.04582895 2.498727
1.3983597 -0.045889873 2.506073
1.4005005 -0.045960125 2.5131025
1.4029161 -0.046039402 2.5198154
1.4055963 -0.04612736 2.5262098
1.4085317 -0.046223693 2.5322862
1.4117128 -0.046328086 2.538045
1.41513 -0.04644022 2.543485
1.4187728 -0.046559773 2.548605
1.4226322 -0.046686422 2.5534058
1.4266984 -0.04681987 2.557887
1.430962 -0.046959776 2.562048
1.4354125 -0.047105838 2.5658877
1.4400408 -0.047257714 2.5694063
1.4448375 -0.047415126 2.5726035
1.449792 -0.047577728 2.5754788
1.4548954 -0.047745198 2.5780318
1.4601376 -0.047917236 2.5802622
1.4655094 -0.048093505 2.5821695
1.4710003 -0.048273716 2.5837538
1.4766012 -0.04845752 2.5850136
1.4823024 -0.048644613 2.5859497
1.488094 -0.048834674 2.5865605
1.4939665 -0.049027395 2.5868468
1.4999099 -0.04922244 2.5868073
1.5059149 -0.049419504 2.5864422
1.5119717 -0.049618267 2.5857508
1.5180705 -0.049818408 2.5847328
1.5242016 -0.050019618 2.5833879
1.5303552 -0.050221562 2.5817153
1.536522 -0.050423935 2.5797153
1.5426921 -0.050626416 2.577387
1.5488557 -0.050828688 2.5747302
1.5550032 -0.05103043 2.5717444
1.5611249 -0.05123133 2.5684292
1.5672112 -0.05143106 2.5647843
1.5732523 -0.05162931 2.5608091
1.5792387 -0.051825766 2.5565035
1.5851603 -0.052020095 2.551867
1.591008 -0.052211992 2.5468996
1.3905953 -0.08926065 2.3884983
1.3903972 -0.089247905 2.4024818
1.3906015 -0.08926106 2.4161608
1.3912003 -0.08929949 2.4295363
1.3921828 -0.08936257 2.4426057
