x y z
0.409091 0.772727 0.0
0.40914482 0.77940893 0.0
0.4093033 0.785818 0.0
0.40956226 0.7919544 0.0
0.40991718 0.7978181 0.0
0.41036367 0.8034089 0.0
0.41089752 0.8087272 0.0
0.41151422 0.81377274 0.0
0.41220954 0.8185455 0.0
0.41297895 0.82304543 0.0
0.4138182 0.8272728 0.0
0.41472295 0.83122736 0.0
0.4156887 0.8349091 0.0
0.41671127 0.8383183 0.0
0.4177862 0.8414547 0.0
0.41890904 0.84431833 0.0
0.42007557 0.84690917 0.0
0.4212814 0.8492274 0.0
0.42252216 0.85127294 0.0
0.42379338 0.8530456 0.0
0.42509073 0.8545456 0.0
0.42641008 0.8557729 0.0
0.4277468 0.85672754 0.0
0.4290966 0.8574093 0.0
0.43045506 0.8578183 0.0
0.43181798 0.85795474 0.0
0.43318087 0.8578183 0.0
0.43453944 0.8574093 0.0
0.4358892 0.8567274 0.0
0.43722594 0.8557729 0.0
0.4385452 0.8545456 0.0
0.43984264 0.85304564 0.0
0.4411139 0.8512729 0.0
0.4423546 0.8492274 0.0
0.4435604 0.8469092 0.0
0.4447269 0.84431833 0.0
0.4458498 0.8414547 0.0
0.44692472 0.8383183 0.0
0.44794726 0.8349092 0.0
0.44891307 0.83122736 0.0
0.44981778 0.8272728 0.0
0.45065704 0.8230455 0.0
0.45142648 0.81854546 0.0
0.45212173 0.81377274 0.0
0.45273846 0.80872726 0.0
0.45327228 0.80340904 0.0
0.4537188 0.7978181 0.0
0.45407373 0.79195446 0.0
0.45433262 0.7858181 0.0
0.45449117 0.779409 0.0
0.454545 0.77272713 0.0
0.40839392 0.7718002 -0.013402237
0.40895018 0.77955854 -0.013420491
0.4096157 0.78704476 -0.013442332
0.41038603 0.7942591 -0.013467614
0.4112568 0.8012007 -0.013496187
0.41222328 0.80786943 -0.013527905
0.41328117 0.81426513 -0.0135626225
0.41442597 0.8203871 -0.01360019
0.4156531 0.8262353 -0.013640462
0.41695815 0.8318091 -0.013683287
0.41833654 0.8371085 -0.013728522
0.41978392 0.842133 -0.01377602
0.42129564 0.8468819 -0.013825629
0.42286733 0.8513555 -0.01387721
0.42449456 0.85555315 -0.013930607
0.42617252 0.8594744 -0.013985673
0.4278971 0.8631191 -0.014042267
0.42966363 0.86648697 -0.01410024
0.43146765 0.86957747 -0.014159443
0.4333046 0.8723902 -0.0142197255
0.43517005 0.8749251 -0.014280943
0.43705964 0.8771816 -0.014342953
0.43896875 0.8791595 -0.0144056035
0.4408928 0.8808583 -0.0144687435
0.44282734 0.8822777 -0.01453223
0.4447681 0.8834178 -0.014595919
0.4467103 0.88427746 -0.014659658
0.44864973 0.884857 -0.014723299
0.4505816 0.8851557 -0.0147867
0.45250165 0.88517344 -0.014849708
0.45440528 0.8849098 -0.01491218
0.4562881 0.88436455 -0.014973967
0.45814544 0.8835371 -0.0150349215
0.45997298 0.88242733 -0.015094895
0.46176618 0.88103485 -0.0151537405
0.4635206 0.87935907 -0.015211313
0.46523163 0.87740016 -0.015267463
0.46689478 0.8751573 -0.015322045
0.46850568 0.87263036 -0.01537491
0.47005987 0.86981905 -0.015425912
0.47155273 0.8667229 -0.0154749025
0.47297975 0.86334175 -0.015521735
0.47433662 0.859675 -0.0155662615
0.47561866 0.8557225 -0.015608334
0.4768215 0.8514839 -0.015647806
0.47794065 0.8469588 -0.015684532
0.4789715 0.8421469 -0.015718363
0.4799097 0.83704776 -0.015749153
0.4807507 0.8316612 -0.01577675
0.48149002 0.8259868 -0.01580101
0.48212314 0.82002425 -0.01582179
0.4063429 0.76902384 -0.026082668
0.40741763 0.7778807 -0.026151655
0.40860698 0.786469 -0.026228001
0.40990645 0.7947883 -0.026311409
0.4113114 0.80283767 -0.026401589
0.4128171 0.81061643 -0.026498238
0.41441908 0.81812394 -0.02660107
0.4161128 0.8253596 -0.026709786
0.41789353 0.83232254 -0.026824087
0.41975656 0.83901197 -0.026943678
0.4216976 0.8454276 -0.027068265
0.42371178 0.85156816 -0.027197558
0.4257946 0.85743314 -0.027331246
0.42794147 0.86302227 -0.027469054
0.4301478 0.86833435 -0.02761067
0.43240887 0.8733688 -0.027755806
0.43472013 0.8781248 -0.027904162
0.43707708 0.8826021 -0.028055454
0.43947506 0.8867995 -0.028209377
0.44190934 0.8907165 -0.02836563
0.44437543 0.8943523 -0.028523924
0.44686878 0.8977064 -0.028683968
0.44938475 0.900778 -0.028845463
0.45191863 0.9035662 -0.02900811
0.45446587 0.90607053 -0.02917161
0.45702198 0.90829027 -0.029335683
0.45958227 0.9102247 -0.029500024
0.46214205 0.9118729 -0.029664334
0.46469685 0.9132344 -0.029828325
0.46724203 0.91430837 -0.029991692
0.4697729 0.9150942 -0.030154148
0.47228503 0.91559136 -0.030315395
0.47477365 0.9157989 -0.03047514
0.47723427 0.91571593 -0.03063308
0.47966218 0.9153422 -0.030788926
0.48205286 0.91467667 -0.03094238
0.48440167 0.9137189 -0.031093147
0.48670405 0.9124678 -0.031240933
0.48895538 0.91092294 -0.03138544
0.49115098 0.90908366 -0.031526376
0.49328637 0.9069492 -0.03166344
0.49535683 0.9045188 -0.031796344
0.49735785 0.9017918 -0.03192478
0.49928477 0.89876753 -0.03204847
0.50113297 0.895445 -0.032167107
0.502898 0.89182395 -0.032280397
0.50457495 0.8879034 -0.032388043
0.50615954 0.8836827 -0.032489754
0.507647 0.87916124 -0.03258523
