x y z
-1.07143E-4 0.205357 0.0
-0.0033146979 0.20522588 -2.1142807E-5
-0.006519933 0.20483644 -8.342837E-5
-0.009720273 0.20419475 -1.8514242E-4
-0.012913141 0.20330681 -3.2457063E-4
-0.01609596 0.20217855 -4.999988E-4
-0.019266156 0.20081605 -7.097126E-4
-0.022421148 0.19922526 -9.519978E-4
-0.025558364 0.19741221 -0.00122514
-0.028675217 0.19538282 -0.0015274248
-0.031769145 0.19314319 -0.0018571382
-0.034837566 0.1906993 -0.0022125659
-0.037877895 0.18805707 -0.0025919934
-0.040887572 0.18522261 -0.002993707
-0.043864008 0.18220185 -0.003415992
-0.04680463 0.1790008 -0.003857134
-0.049706854 0.17562546 -0.0043154187
-0.05256812 0.17208186 -0.0047891326
-0.05538584 0.16837597 -0.0052765603
-0.058157433 0.16451375 -0.0057759876
-0.06088033 0.16050126 -0.0062857005
-0.063551955 0.15634452 -0.006803986
-0.06616973 0.15204948 -0.007329128
-0.06873108 0.14762212 -0.007859413
-0.071233414 0.14306846 -0.008393126
-0.07367419 0.13839456 -0.008928553
-0.07605078 0.13360634 -0.009463981
-0.07836065 0.12870985 -0.009997693
-0.08060121 0.12371106 -0.010527977
-0.08276988 0.11861597 -0.011053118
-0.08486409 0.1134306 -0.011571402
-0.08688125 0.10816091 -0.012081115
-0.0888188 0.102812946 -0.012580542
-0.09067416 0.09739268 -0.013067968
-0.092444755 0.091906115 -0.013541681
-0.094128 0.086359255 -0.013999965
-0.09572131 0.08075809 -0.014441107
-0.097222134 0.07510863 -0.014863391
-0.09862787 0.06941687 -0.015265104
-0.099935964 0.063688815 -0.015644532
-0.10114383 0.05793045 -0.01599996
-0.102248885 0.052147787 -0.016329672
-0.10324856 0.04634682 -0.016631957
-0.104140274 0.04053355 -0.016905101
-0.10492145 0.034713976 -0.017147386
-0.105589524 0.028894098 -0.0173571
-0.1061419 0.023079913 -0.017532527
-0.10657602 0.017277421 -0.017671956
-0.106889285 0.011492623 -0.017773671
-0.10707914 0.005731517 -0.017835958
-0.107143 1.0218456E-7 -0.0178571
-1.0084133E-4 0.20459643 -0.0010285861
-0.0032594972 0.2046508 -0.0011761202
-0.0064209355 0.20444265 -0.001364133
-0.00958252 0.20397788 -0.0015908552
-0.012741616 0.20326231 -0.0018545177
-0.015895585 0.20230165 -0.0021533524
-0.019041788 0.20110191 -0.0024855896
-0.022177594 0.19966877 -0.002849461
-0.025300367 0.19800815 -0.0032431977
-0.028407458 0.19612578 -0.0036650298
-0.03149625 0.19402763 -0.0041131903
-0.034564093 0.19171941 -0.004585909
-0.037608344 0.18920696 -0.005081416
-0.04062639 0.18649614 -0.0055979462
-0.04361558 0.18359281 -0.0061337287
-0.04657328 0.18050274 -0.0066869925
-0.04949684 0.17723173 -0.007255971
-0.05238365 0.1737857 -0.007838896
-0.055231053 0.17017047 -0.008433996
-0.05803641 0.16639178 -0.009039504
-0.060797103 0.16245551 -0.009653651
-0.06351048 0.1583675 -0.010274668
-0.066173926 0.1541336 -0.010900788
-0.06878476 0.14975955 -0.011530237
-0.07134039 0.14525124 -0.012161251
-0.07383816 0.14061451 -0.012792058
-0.07627544 0.13585518 -0.013420893
-0.07864958 0.13097905 -0.014045982
-0.08095796 0.12599197 -0.014665559
-0.08319794 0.12089974 -0.015277855
-0.085366875 0.115708224 -0.015881103
-0.08746213 0.11042325 -0.01647353
-0.08948108 0.10505061 -0.017053371
-0.09142108 0.09959617 -0.017618854
-0.093279496 0.09406573 -0.018168215
-0.095053695 0.088465154 -0.018699678
-0.09674101 0.082800224 -0.01921148
-0.09833886 0.0770768 -0.01970185
-0.09984457 0.07130069 -0.02016902
-0.10125551 0.06547774 -0.020611215
-0.10256904 0.059613768 -0.021026678
-0.10378254 0.053714607 -0.021413634
-0.10489336 0.047786076 -0.02177031
-0.105898865 0.04183401 -0.022094943
-0.10679642 0.03586424 -0.022385763
-0.10758338 0.029882586 -0.022640996
-0.10825713 0.023894882 -0.022858884
-0.108815014 0.017906955 -0.023037648
-0.109254405 0.011924631 -0.023175523
-0.109572664 0.0059537385 -0.02327074
-0.10976715 1.06270285E-7 -0.02332153
-9.4787196E-5 0.20338705 -0.0019716925
-0.0031979182 0.20363718 -0.0022428213
-0.006308963 0.20362082 -0.002554177
-0.009425232 0.20334361 -0.0029039332
-0.012544044 0.20281129 -0.0032902628
-0.01566271 0.20202936 -0.0037113393
-0.01877854 0.20100354 -0.004165336
-0.021888848 0.19973941 -0.004650425
-0.02499095 0.1982427 -0.005164782
-0.028082151 0.19651893 -0.0057065766
-0.031159777 0.1945739 -0.006273985
-0.034221128 0.19241309 -0.006865179
-0.037263524 0.19004218 -0.0074783317
-0.040284272 0.1874669 -0.008111619
-0.043280695 0.18469283 -0.008763211
-0.046250094 0.18172553 -0.009431281
-0.04918979 0.17857073 -0.010114002
-0.0520971 0.17523408 -0.010809551
-0.054969326 0.17172122 -0.011516097
-0.057803784 0.1680377 -0.012231814
-0.060597785 0.1641892 -0.012954875
-0.06334865 0.16018146 -0.013683458
-0.066053696 0.15602002 -0.01441573
-0.068710215 0.1517105 -0.015149864
-0.07131552 0.14725855 -0.015884036
-0.07386696 0.1426699 -0.01661642
-0.07636182 0.13795012 -0.017345188
-0.0787974 0.13310485 -0.018068513
-0.081171036 0.12813973 -0.018784566
-0.08348003 0.123060405 -0.019491525
-0.08572172 0.11787249 -0.02018756
-0.08789338 0.112581685 -0.020870842
-0.089992344 0.10719357 -0.02153955
-0.09201592 0.101713814 -0.022191854
-0.09396144 0.096148044 -0.022825928
-0.09582618 0.09050191 -0.023439946
-0.09760748 0.08478105 -0.024032079
-0.09930265 0.07899107 -0.024600497
-0.100908995 0.07313767 -0.025143381
-0.10242382 0.06722643 -0.0256589
-0.103844464 0.061263032 -0.02614523
-0.10516824 0.0552531 -0.02660054
-0.10639242 0.049202267 -0.027023006
-0.10751436 0.043116182 -0.027410796
-0.10853134 0.037000477 -0.027762093
-0.10944071 0.030860797 -0.028075064
-0.110239744 0.024702778 -0.028347882
-0.110925786 0.01853206 -0.028578721
-0.111496136 0.0123542845 -0.028765753
-0.111948095 0.0061750878 -0.028907154
-0.112279 1.1034598E-7 -0.029001098
-8.897204E-5 0.20173223 -0.0028299117
-0.0031303742 0.20218733 -0.003221398
-0.0061848206 0.20237218 -0.0036532795
-0.009249584 0.20229235 -0.004123668
-0.012321935 0.20195317 -0.0046306783
-0.015399147 0.20136014 -0.0051724203
-0.018478496 0.20051867 -0.0057470086
-0.021557244 0.19943422 -0.0063525555
-0.024632674 0.19811217 -0.0069871736
-0.027702048 0.19655791 -0.0076489747
-0.030762646 0.19477704 -0.008336071
-0.033811748 0.19277482 -0.00904658
-0.0368466 0.1905568 -0.009778607
-0.0398645 0.18812835 -0.010530272
-0.042862717 0.18549491 -0.011299683
-0.04583851 0.18266192 -0.0120849535
-0.04878915 0.1796348 -0.012884195
-0.05171193 0.17641902 -0.013695525
-0.054604113 0.17302 -0.014517052
-0.057462953 0.16944315 -0.015346888
-0.060285743 0.16569385 -0.01618315
-0.06306975 0.16177766 -0.017023943
-0.06581225 0.15769996 -0.01786739
-0.0685105 0.1534661 -0.018711599
-0.071161784 0.14908159 -0.019554678
-0.073763385 0.14455192 -0.020394744
-0.07631255 0.13988242 -0.021229908
-0.078806564 0.13507855 -0.022058286
-0.08124271 0.13014577 -0.022877991
-0.08361823 0.12508947 -0.023687128
-0.08593043 0.11991512 -0.024483817
-0.08817656 0.114628136 -0.02526617
-0.09035391 0.10923395 -0.026032297
-0.09245974 0.103738 -0.026780313
-0.09449132 0.09814571 -0.027508328
-0.09644594 0.09246252 -0.02821446
-0.09832084 0.08669385 -0.028896818
-0.100113325 0.08084515 -0.029553512
-0.10182064 0.074921824 -0.030182658
-0.10344008 0.068929344 -0.030782372
-0.10496891 0.06287312 -0.031350758
-0.1064044 0.05675858 -0.031885937
-0.10774383 0.050591163 -0.032386016
-0.10898445 0.044376303 -0.032849114
-0.11012355 0.038119424 -0.03327334
-0.11115841 0.03182597 -0.0336568
-0.112086274 0.025501369 -0.033997614
-0.112904444 0.019151049 -0.034293897
-0.11361018 0.012780445 -0.034543756
-0.11420074 0.0063949893 -0.034745313
-0.11467343 1.1440123E-7 -0.034896664
-8.338826E-5 0.19963732 -0.0036042046
-0.0030572852 0.20030539 -0.004112386
-0.0060493266 0.20069979 -0.0046615535
-0.0090567535 0.20082602 -0.0052497573
-0.012076809 0.20068905 -0.0058750473
-0.015106737 0.20029412 -0.0065354733
-0.018143775 0.19964658 -0.0072290865
-0.021185165 0.1987515 -0.007953937
-0.024228156 0.19761413 -0.008708076
-0.027269974 0.19623962 -0.009489551
-0.030307882 0.19463328 -0.010296419
-0.033339106 0.19280027 -0.011126724
-0.036360886 0.19074573 -0.011978517
-0.039370485 0.18847497 -0.012849853
-0.04236513 0.18599318 -0.01373878
-0.045342058 0.18330546 -0.014643347
-0.048298508 0.18041712 -0.015561606
-0.051231746 0.17733337 -0.016491607
-0.054138996 0.17405935 -0.0174314
-0.057017487 0.17060032 -0.018379036
-0.059864487 0.16696143 -0.019332565
-0.06267724 0.16314797 -0.020290043
-0.06545295 0.1591651 -0.02124951
-0.06818888 0.15501799 -0.022209022
-0.07088229 0.15071188 -0.023166629
-0.07353042 0.14625199 -0.024120385
-0.07613047 0.14164354 -0.025068332
-0.07867972 0.1368917 -0.026008524
-0.08117539 0.13200167 -0.026939016
-0.08361475 0.12697868 -0.027857855
-0.085995026 0.12182791 -0.028763093
-0.08831345 0.11655462 -0.02965278
-0.09056728 0.11116396 -0.030524964
-0.09275375 0.10566116 -0.031377696
-0.09487011 0.10005142 -0.03220903
-0.09691359 0.094339944 -0.033017013
-0.09888144 0.08853194 -0.033799697
-0.10077088 0.08263263 -0.034555133
-0.1025792 0.0766472 -0.035281368
-0.1043036 0.070580855 -0.03597646
-0.10594133 0.06443881 -0.036638446
-0.107489645 0.058226276 -0.03726539
-0.10894577 0.051948447 -0.03785534
-0.11030697 0.045610536 -0.03840634
-0.111570455 0.039217748 -0.038916446
-0.11273349 0.032775283 -0.039383702
-0.11379331 0.026288358 -0.03980617
-0.11474716 0.019762171 -0.04018189
-0.11559228 0.013201932 -0.04050892
-0.1163259 0.006612847 -0.040785305
-0.11694528 1.1842525E-7 -0.04100909
-7.802914E-5 0.19710988 -0.004295883
-0.0029790779 0.19799763 -0.004916688
-0.005903311 0.19860889 -0.0055794916
-0.008847954 0.1989486 -0.0062822835
-0.011810226 0.19902177 -0.0070230504
-0.014787352 0.19883329 -0.0077997763
-0.017776556 0.19838816 -0.008610454
-0.02077505 0.19769132 -0.009453067
-0.023780068 0.19674776 -0.010325603
-0.026788825 0.1955624 -0.01122605
-0.029798547 0.19414024 -0.012152397
-0.03280646 0.19248623 -0.013102631
-0.03580977 0.19060525 -0.014074735
-0.038805716 0.18850243 -0.015066707
-0.04179153 0.1861826 -0.016076524
-0.0447644 0.18365075 -0.01710218
-0.047721576 0.18091178 -0.018141653
-0.05066027 0.17797078 -0.019192945
-0.05357771 0.1748326 -0.02025403
-0.05647111 0.17150225 -0.021322902
-0.05933769 0.16798463 -0.022397548
-0.062174685 0.16428486 -0.023475956
-0.064979315 0.16040772 -0.024556115
-0.06774879 0.15635823 -0.025636002
-0.07048035 0.15214135 -0.026713615
-0.0731712 0.14776208 -0.02778694
-0.07581858 0.14322533 -0.02885396
-0.078419685 0.1385361 -0.029912665
-0.08097177 0.13369931 -0.030961046
-0.08347203 0.12871994 -0.03199708
-0.08591771 0.12360294 -0.033018768
-0.08830601 0.118353285 -0.034024093
-0.09063417 0.112975925 -0.035011042
-0.092899404 0.107475825 -0.035977595
-0.095098935 0.10185793 -0.036921747
-0.097229995 0.09612723 -0.037841488
-0.09928979 0.09028864 -0.038734797
-0.101275556 0.08434715 -0.03959966
-0.10318449 0.078307725 -0.04043408
-0.105013855 0.0721753 -0.04123604
-0.106760845 0.06595486 -0.042003512
-0.1084227 0.05965135 -0.042734496
-0.109996624 0.05326973 -0.043426983
-0.11147983 0.04681497 -0.044078946
-0.112869576 0.040292017 -0.04468839
-0.11416308 0.033705838 -0.045253284
-0.11535752 0.02706139 -0.045771632
-0.11645017 0.020363636 -0.046241414
-0.11743821 0.013617533 -0.046660613
-0.118318886 0.0068280427 -0.047027227
-0.11908943 1.2240687E-7 -0.047339235
-7.288878E-5 0.19415957 -0.0049065873
-0.0028961848 0.19527254 -0.005635549
-0.005747621 0.19610646 -0.0064079454
-0.008624409 0.1966661 -0.0072217034
-0.011523766 0.19695613 -0.008074748
-0.014442906 0.1969812 -0.008965001
-0.017379042 0.19674604 -0.0098903915
-0.020329386 0.19625536 -0.010848838
-0.02329115 0.19551381 -0.011838273
-0.02626155 0.19452609 -0.012856614
-0.029237807 0.19329695 -0.013901789
-0.032217126 0.191831 -0.014971722
-0.035196718 0.19013293 -0.016064338
-0.03817381 0.18820757 -0.017177563
-0.04114561 0.18605949 -0.018309323
-0.044109326 0.18369333 -0.019457534
-0.047062173 0.1811139 -0.020620134
-0.05000138 0.17832589 -0.021795036
-0.052924138 0.17533393 -0.022980176
-0.05582767 0.17214271 -0.024173465
-0.05870919 0.16875699 -0.025372835
-0.061565932 0.16518143 -0.026576212
-0.06439506 0.1614207 -0.02778152
-0.06719385 0.15747951 -0.02898668
-0.06995946 0.15336253 -0.03018962
-0.07268915 0.1490745 -0.031388264
-0.0753801 0.14462008 -0.03258054
-0.07802953 0.14000398 -0.03376436
-0.08063467 0.13523087 -0.034937672
-0.08319272 0.13030547 -0.036098376
-0.08570091 0.12523244 -0.03724441
-0.08815642 0.12001652 -0.038373694
-0.090556495 0.11466236 -0.03948416
-0.09289834 0.10917465 -0.040573727
-0.09517918 0.10355811 -0.041640315
-0.0973962 0.09781742 -0.04268186
-0.09954663 0.09195727 -0.043696284
-0.101627685 0.08598236 -0.044681504
-0.10363661 0.079897374 -0.045635447
-0.105570555 0.073707014 -0.04655604
-0.10742678 0.06741595 -0.047441207
-0.109202474 0.061028916 -0.04828888
-0.110894874 0.054550573 -0.04909697
-0.112501174 0.047985632 -0.049863417
-0.114018604 0.04133876 -0.050586127
-0.11544437 0.034614675 -0.051263038
-0.116775684 0.027818056 -0.05189208
-0.11800975 0.020953598 -0.052471165
-0.119143814 0.0140259955 -0.052998215
-0.12017506 0.0070399405 -0.05347117
